accuracy	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	f1-score	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	recall	runtime_error	start_time	time_adjust	time_taken	total_inds	total_time	
0.4932006633499171	23.874291769871075	1291.476	19.878	1224.434	861.136	11.908809776211259	0.3658768367454808	0	0	3799	20	3574	2533	25	10	23	17	0.5113818410114306	0.5018514410074374	0	1748382744.2644658	0	19.074700355529785	500	19.074700355529785	
0.4935323383084577	13.920049797682262	1252.82	19.848	1187.07	835.606	11.652285619042999	0.3665273520943624	1	0	3354	20	3141	2236	33	11	31	22	0.513283856307112	0.5021769618407708	0	1748382744.2644658	0	21.62415385246277	1000	40.698854207992554	
0.48955223880597015	12.709871069680636	1621.866	19.972	1543.816	1079.71	11.65162793415696	0.37120775091501823	2	0	3351	20	3137	2233	67	14	67	47	0.49033977348434377	0.49793198529411764	0	1748382744.2644658	0	28.10319685935974	1500	68.8020510673523	
0.48955223880597015	12.253615247290407	1624.762	19.996	1562.806	1077.76	11.443065150578816	0.37165291121821403	3	0	2116	20	1820	1269	1017	19	615	452	0.49038676662612424	0.4979194398664638	0	1748382744.2644658	0	32.4260630607605	2000	101.2281141281128	
0.48955223880597015	12.128159728842828	1620.548	19.998	1558.018	1074.49	11.443065150578816	0.37165291121821403	4	0	2119	20	2260	1575	1128	19	831	584	0.49038676662612424	0.4979194398664638	0	1748382744.2644658	0	32.22546029090881	2500	133.4535744190216	
0.4922056384742952	11.982052382668925	1611.966	20.0	1546.884	1067.672	11.185608136713208	0.37623991162430875	5	0	1897	20	1909	1353	1366	20	1173	822	0.5023993192079489	0.5005361519607843	0	1748382744.2644658	0	32.69958472251892	3000	166.15315914154053	
0.4922056384742952	11.842013936408831	1610.268	19.998	1548.482	1066.184	11.032506665424329	0.376677571741026	6	0	1918	20	1996	1374	1184	19	905	640	0.5023189213847635	0.5005236065331304	0	1748382744.2644658	0	31.57563042640686	3500	197.7287895679474	
0.4912106135986733	11.818370651587443	1609.25	19.998	1546.27	1065.25	10.803483364949772	0.37347263117625956	7	0	1723	20	1711	1179	1118	19	830	574	0.49807053636430565	0.49958468031609193	0	1748382744.2644658	0	31.981014728546143	4000	229.70980429649353	
0.4912106135986733	11.506042680542741	1609.034	20.0	1543.508	1065.034	10.803483364949772	0.37347263117625956	8	0	1781	20	1800	1237	1128	20	870	584	0.49807053636430565	0.49958468031609193	0	1748382744.2644658	0	34.8074996471405	4500	264.51730394363403	
0.4925373134328358	11.51274118595954	1593.548	19.996	1522.334	1049.548	10.72388137490002	0.37421861264675427	9	0	2089	20	2212	1545	1060	19	725	516	0.5044501731145568	0.5009369453600405	0	1748382744.2644658	0	30.637295246124268	5000	295.1545991897583	
0.49154228855721394	11.301735927436129	1597.71	19.998	1525.176	1053.71	10.595103535960563	0.37498554770838377	10	0	2093	20	2219	1549	1118	19	855	574	0.4994804170996524	0.49988511029411764	0	1748382744.2644658	0	31.446043729782104	5500	326.6006429195404	
0.49154228855721394	11.283526099625393	1593.866	19.996	1519.134	1049.866	10.595103535960563	0.37498554770838377	11	0	1769	20	1780	1225	789	19	331	245	0.4994804170996524	0.49988511029411764	0	1748382744.2644658	0	33.86656618118286	6000	360.46720910072327	
0.49154228855721394	11.242376307905728	1585.088	19.998	1505.562	1041.088	10.595103535960563	0.37498554770838377	12	0	1974	20	2053	1430	629	19	114	85	0.4994804170996524	0.49988511029411764	0	1748382744.2644658	0	30.202383518218994	6500	390.66959261894226	
0.4918739635157546	11.093388606795507	1574.298	19.998	1488.692	1030.298	10.229800200343725	0.37517315042876376	13	0	1786	20	1782	1242	1013	19	663	469	0.5010146818662141	0.5002231765551048	0	1748382744.2644658	0	31.298404693603516	7000	421.9679973125458	
0.4918739635157546	11.165867835829863	1573.08	20.0	1486.93	1029.08	10.229800200343725	0.37517315042876376	14	0	1831	20	1861	1287	1200	20	957	656	0.5010146818662141	0.5002231765551048	0	1748382744.2644658	0	31.341073751449585	7500	453.30907106399536	
0.4945273631840796	11.031595741286445	1577.044	20.0	1493.632	1033.044	9.986511229282588	0.37533647210829757	15	0	2221	20	2400	1677	1235	20	1020	691	0.5145753008529034	0.5029653429259635	0	1748382744.2644658	0	31.279599905014038	8000	484.5886709690094	
0.4955223880597015	10.817791331206033	1585.624	19.998	1506.2	1041.624	9.916859487989056	0.3758949076767615	16	0	2217	20	2395	1673	898	19	521	354	0.5199084350721421	0.503979541708925	0	1748382744.2644658	0	30.30609154701233	8500	514.8947625160217	
0.4955223880597015	10.562932393349227	1589.27	19.998	1510.952	1045.27	9.916859487989056	0.3758949076767615	17	0	2217	20	2395	1673	1239	19	1020	695	0.5199084350721421	0.503979541708925	0	1748382744.2644658	0	32.3841073513031	9000	547.2788698673248	
0.4955223880597015	10.587225673745284	1574.914	19.986	1489.738	1030.914	9.916859487989056	0.3758949076767615	18	0	1758	20	1753	1214	593	13	72	49	0.5199084350721421	0.503979541708925	0	1748382744.2644658	0	31.85758352279663	9500	579.1364533901215	
0.49585406301824214	10.614063028981555	1560.308	19.998	1467.294	1016.308	9.896958990476618	0.37608098040838733	19	0	1676	20	1640	1132	684	19	207	140	0.5217287763122334	0.5043176079699121	0	1748382744.2644658	0	29.91694664955139	10000	609.0534000396729	
0.4961857379767827	10.56606009919157	1555.842	20.0	1460.484	1011.842	9.857157995451741	0.37626701709939375	20	0	1767	20	1759	1223	1104	20	828	560	0.523571113379362	0.5046556742308992	0	1748382744.2644658	0	30.591768980026245	10500	639.6451690196991	
0.4961857379767827	10.429831836851557	1558.712	20.0	1464.106	1014.712	9.857157995451741	0.37626701709939375	21	0	1739	20	1708	1195	973	20	645	429	0.523571113379362	0.5046556742308992	0	1748382744.2644658	0	32.78874397277832	11000	672.4339129924774	
0.4961857379767827	10.388315389540182	1568.608	20.0	1478.332	1024.608	9.857157995451741	0.37626701709939375	22	0	2048	20	2152	1504	1113	20	847	569	0.523571113379362	0.5046556742308992	0	1748382744.2644658	0	28.938642501831055	11500	701.3725554943085	
0.4961857379767827	10.606600517724875	1567.278	20.0	1476.064	1023.278	9.857157995451741	0.37626701709939375	23	0	1828	20	1834	1284	1268	20	1053	724	0.523571113379362	0.5046556742308992	0	1748382744.2644658	0	30.852486610412598	12000	732.2250421047211	
0.496849087893864	10.506266785525325	1560.736	20.0	1465.934	1016.736	9.798525402201943	0.37067583046964486	24	0	1828	20	1834	1284	1371	20	1179	827	0.5335299521346033	0.5054948973123732	0	1748382744.2644658	0	32.25950050354004	12500	764.4845426082611	
0.49917081260364843	10.47577531521925	1563.038	20.0	1469.576	1019.038	9.383375535082461	0.3719422423868526	25	0	2062	20	2199	1518	1366	20	1175	822	0.5505998084692842	0.5078613611392833	0	1748382744.2644658	0	30.61831760406494	13000	795.102860212326	
0.49917081260364843	10.345136725035237	1558.342	19.998	1462.202	1014.342	9.383375535082461	0.3719422423868526	26	0	1683	20	1648	1139	1213	19	962	669	0.5505998084692842	0.5078613611392833	0	1748382744.2644658	0	31.06187677383423	13500	826.1647369861603	
0.49917081260364843	10.40093072016607	1556.958	19.998	1459.01	1012.958	9.383375535082461	0.3719422423868526	27	0	1786	20	1775	1242	1000	19	647	456	0.5505998084692842	0.5078613611392833	0	1748382744.2644658	0	32.776365756988525	14000	858.9411027431488	
0.49917081260364843	10.136217944409717	1563.63	20.0	1470.234	1019.63	9.383375535082461	0.3719422423868526	28	0	2021	20	2102	1477	1001	20	674	457	0.5505998084692842	0.5078613611392833	0	1748382744.2644658	0	29.579333543777466	14500	888.5204362869263	
