group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1,1467.9,1,0.1987199932336807,[0.03646275773644447],[0.08333930373191833],[0.14555047749269123],[0.201488369867044],[0.012039174206167737],[-0.009712320056201424],0.0085049588233232,2.268319606781006,2.385477066040039,False,False
1,1468.24,1,0.1987199932336807,[0.03646275773644447],[0.08333930373191833],[0.14555047749269123],[0.201488369867044],[0.012039174206167737],[-0.009712320056201424],0.0068640625104308,2.272144317626953,2.272144317626953,False,False
1,1470.94,0,0.1987199932336807,[0.03646275773644447],[0.08333930373191833],[0.14555047749269123],[0.201488369867044],[0.012039174206167737],[-0.009712320056201424],0.0102174943313002,2.138655185699463,2.288376569747925,False,False
2,1550.72,0,0.3390320837497711,[0.08819875121116638],[0.32638031244277954],[0.09019210887448181],[0.29577820875490346],[-0.004504703085656568],[0.00570274309298779],-0.1086818948388099,2.9908485412597656,119.22721862792967,True,False
2,1554.37,0,0.2363397032022476,[-0.048048920929431915],[-0.2351587861776352],[-0.015879353356385018],[-0.2444768960302277],[-0.08024447975557779],[-0.005960859483469087],0.0178966615349054,2.6643855571746826,4.064538955688477,True,False
2,1558.34,0,0.2884905636310577,[-0.04583793506026268],[-0.29962098598480225],[-0.04438112471416478],[-0.3152080367134664],[-0.031425969725596914],[0.0002173963253240714],0.0217872429639101,2.3957905769348145,2.3957905769348145,True,False
3,1674.42,0,0.2171238958835601,[0.15022242069244385],[-0.03973910212516785],[0.24309423438717292],[0.02233774939576394],[-0.009798153472234552],[-0.004144037886147036],-0.0453264750540256,1.626617193222046,2.037155866622925,True,False
3,1675.61,0,0.1943092197179794,[0.13019393384456635],[0.13994833827018738],[0.16348527400260715],[0.24727176758352165],[-0.015948103727195136],[-0.0016864248972436185],-0.119477279484272,1.6898366212844849,1.989516973495484,True,False
3,1679.37,0,0.2202169597148895,[0.15800806879997253],[-0.09338221698999405],[0.4932384771966156],[-0.18693058904736404],[-0.020955187314078947],[-0.27034911395681605],-0.1031994149088859,1.9381632804870603,1.91913652420044,True,True
4,1728.88,0,0.2792285084724426,[0.2902156114578247],[-0.16216222941875458],[0.3466240871818087],[-0.16377814852026717],[-0.07881619217563512],[-0.001039276160130726],0.0920362100005149,2.902992248535156,3.245420455932617,True,False
4,1728.98,0,0.2792285084724426,[0.2902156114578247],[-0.16216222941875458],[0.3466240871818087],[-0.16377814852026717],[-0.07881619217563512],[-0.001039276160130726],0.1067091226577758,2.703871250152588,2.6342008113861084,True,False
4,1729.2,0,0.2792285084724426,[0.2902156114578247],[-0.16216222941875458],[0.3466240871818087],[-0.16377814852026717],[-0.07881619217563512],[-0.001039276160130726],0.1095229834318161,2.712199687957764,2.613809585571289,True,True
5,1796.44,0,0.3361425995826721,[0.3175198435783386],[0.055050820112228394],[0.3094861211301456],[0.04451335237926113],[0.02999310834893106],[0.0064108283726999876],0.0168376341462135,2.4180009365081787,2.13222336769104,True,False
5,1797.79,0,0.2356629222631454,[0.07488955557346344],[0.27304211258888245],[0.1802568491283094],[0.28340431377654696],[-0.013681917724028502],[-0.012835072184847135],-0.0975682809948921,2.389838457107544,3.1804685592651367,True,False
5,1805.61,0,0.350199431180954,[0.003782470477744937],[-0.36764413118362427],[-0.0029049232020117444],[-0.34962727647876035],[-0.05914399471990499],[-0.009347725374405699],0.1257708668708801,2.2179317474365234,2.162993669509888,True,False
6,1850.32,0,0.2013480067253112,[0.017032470554113388],[0.1402297168970108],[-0.20136114153316775],[0.23169782886847257],[0.08057079045858416],[0.001957708567090978],-0.1216147094964981,2.3489644527435303,3.0976290702819824,True,False
6,1850.82,0,0.2013480067253112,[0.017032470554113388],[0.1402297168970108],[-0.20136114153316775],[0.23169782886847257],[0.08057079045858416],[0.001957708567090978],-0.0558316670358181,2.24613094329834,2.2616899013519287,True,False
6,1851.43,0,0.2013480067253112,[0.017032470554113388],[0.1402297168970108],[-0.20136114153316775],[0.23169782886847257],[0.08057079045858416],[0.001957708567090978],-0.1043367981910705,2.278540134429932,2.238765001296997,True,True
7,1899.88,1,0.3195387423038482,[0.1159515231847763],[-0.2632724642753601],[0.12381536322335585],[-0.24183521448109913],[-0.08494755723148752],[0.008810821982581186],0.152033269405365,3.1716527938842773,4.209234714508057,False,False
7,1903.62,1,0.1778682172298431,[0.05804241821169853],[0.16210201382637024],[0.1358938911256754],[0.20957287173587424],[-0.13719672659467644],[-0.1002188238422775],-0.1157292127609252,3.2517130374908447,3.279545307159424,False,False
7,1906.01,0,0.3819784820079803,[0.019654998555779457],[-0.2859501838684082],[0.018605757352256003],[-0.25582795616349174],[-0.0779836462715551],[0.01195430152051618],0.0673859119415283,3.25927472114563,3.19627046585083,False,False
8,2069.6,1,0.1656553596258163,[0.11957267671823502],[-0.05811415612697601],[0.23442392329624706],[-0.18800346800827517],[5.401128054619876e-05],[0.01433413817916586],-0.1033484637737274,2.5021913051605225,118.86578369140624,True,False
8,2070.31,1,0.1656553596258163,[0.11957267671823502],[-0.05811415612697601],[0.23442392329624706],[-0.18800346800827517],[5.401128054619876e-05],[0.01433413817916586],-0.0039807306602597,2.539788246154785,2.577044486999512,True,False
8,2071.11,1,0.1656553596258163,[0.11957267671823502],[-0.05811415612697601],[0.23442392329624706],[-0.18800346800827517],[5.401128054619876e-05],[0.01433413817916586],-0.1072669550776481,2.5311245918273926,2.5763018131256104,True,True
9,2134.18,1,0.158717542886734,[0.10806641727685928],[-0.12467677891254425],[0.24434097238782826],[-0.22867945953002344],[0.00024128739184867986],[-0.00048171171141475524],-0.0087896445766091,2.0991313457489014,118.93739318847656,False,False
9,2137.49,1,0.3708868324756622,[0.0032478305511176586],[0.14319898188114166],[-0.030184582317525688],[0.28067797103254577],[-0.017627081734358084],[-0.028520611023124268],-0.0240317955613136,2.296518325805664,2.5500717163085938,False,False
9,2143.86,1,0.343546986579895,[0.2424984574317932],[-0.1300526261329651],[0.266472910212987],[-0.10504455084269604],[-0.03165981655761237],[0.007683222251354513],0.1090466976165771,1.9226263761520384,2.9448492527008057,False,True
10,2266.54,1,0.1616583168506622,[0.45905354619026184],[-0.2950573265552521],[0.5000976373252177],[-0.29857667476196004],[0.11012660354347215],[-0.028045685134343492],0.1145154237747192,3.142272472381592,3.471578598022461,False,False
10,2272.61,1,0.2444678395986557,[0.39731985330581665],[0.03572937101125717],[0.5009544627777336],[-0.016801682499993476],[0.03139143124884902],[-0.012904557830424795],0.005434903781861,3.1690142154693604,3.6983680725097656,False,False
10,2275.44,1,0.2025117725133896,[0.006798671092838049],[-0.27226337790489197],[-0.01204291749797548],[-0.3765057838595911],[-0.056449973115925985],[-0.029903823221799665],0.1237071231007576,2.835865259170532,2.833815813064575,False,False
11,2332.42,0,0.22996686398983,[0.060067541897296906],[0.05656164512038231],[0.21127047654150166],[0.11271463954281424],[-0.020192029492410748],[-0.018333170690239403],0.002166876103729,3.244261741638184,3.4563937187194824,True,False
11,2342.63,1,0.32748943567276,[-0.2512607276439667],[-0.3683401048183441],[-0.22404486545561214],[-0.32225011149609895],[-0.0240246079496841],[-0.02459609437433129],-0.1214230880141258,3.132811546325684,3.2257113456726074,True,False
11,2352.3,0,0.0600063391029834,[-0.5758928656578064],[-0.42692112922668457],[-0.4395558505639201],[-0.4648424705092604],[-0.27199125234129223],[0.07583361181990955],0.0854677781462669,2.931171417236328,2.884737014770508,True,False
12,2502.5,1,0.5690087676048279,[0.13979937136173248],[0.16478927433490753],[0.22176382642324022],[0.18614078157942626],[-0.02123458569511362],[0.09012806295133698],-0.0924777910113334,5.06966495513916,6.09874439239502,True,False
12,2502.5,1,0.5690087676048279,[0.13979937136173248],[0.16478927433490753],[0.22176382642324022],[0.18614078157942626],[-0.02123458569511362],[0.09012806295133698],-0.0924777910113334,5.06966495513916,6.09874439239502,True,False
12,2502.82,1,0.5690087676048279,[0.13979937136173248],[0.16478927433490753],[0.22176382642324022],[0.18614078157942626],[-0.02123458569511362],[0.09012806295133698],0.0935121700167656,5.17189359664917,5.070296287536621,True,True
13,2635.96,1,0.5354090929031372,[1.0728480815887451],[0.055193398147821426],[1.1749252446175094],[0.0790383465335458],[-0.07461896304456432],[-0.006526604449001393],0.138242557644844,5.229741096496582,5.271162509918213,False,False
13,2638.33,1,0.2252961993217468,[0.21839678287506104],[-0.31678536534309387],[0.32307207632144674],[-0.4858187084438974],[-0.039560669998597545],[0.08355939076543091],0.1205478757619857,5.021582126617432,118.64190673828124,False,False
13,2639.52,0,0.2185516059398651,[0.23234562575817108],[-0.1148434430360794],[0.40078296917831313],[-0.12455707624561163],[-0.0735058357775822],[0.027936047882521242],0.1107964590191841,4.896261692047119,4.870463848114014,False,True
14,2759.6,0,0.1533554047346115,[-0.023983122780919075],[0.2994595170021057],[-0.004465962807895796],[0.5004612051238153],[0.03698883179135852],[-0.08820240118905881],-0.0848145931959152,3.337106466293335,3.610939025878906,True,False
14,2760.81,0,0.216927021741867,[-0.2424847036600113],[0.03785009682178497],[-0.35568799441645904],[0.09005227364462653],[0.0737031040861929],[0.024613113433823604],-0.1128453090786933,2.9663305282592773,2.9663305282592773,True,False
14,2762.16,0,0.3134773969650268,[0.11377868056297302],[-0.2378973662853241],[0.10978046930080154],[-0.2815681095846416],[-0.011501553311993545],[-0.0035553782533978124],0.1117867454886436,3.139004945755005,4.1249098777771,True,True
15,2880.56,1,0.1924404948949813,[0.10887584090232849],[-0.047889456152915955],[0.2739251947144741],[0.008953743809396064],[0.031279835219454544],[-0.028391762582468054],0.1212544664740562,2.824841022491455,3.4586997032165527,False,False
15,2883.71,1,0.1924404948949813,[0.10887584090232849],[-0.047889456152915955],[0.2739251947144741],[0.008953743809396064],[0.031279835219454544],[-0.028391762582468054],0.0642623156309127,2.8233704566955566,2.8233704566955566,False,False
15,2887.28,1,0.3328476250171661,[0.08726538717746735],[-0.15824714303016663],[0.11334672720176808],[-0.16152026239129913],[-0.06406960012236833],[0.0024684080864839355],0.0369727574288845,3.0583791732788086,3.0583791732788086,False,True
16,3000.06,1,0.2527174055576324,[0.13534435629844666],[0.16003236174583435],[0.24002741752785095],[0.08712305913927132],[-0.022248647946941473],[0.009465855555121317],-0.0661423504352569,2.806896686553955,3.23602557182312,True,False
16,3000.4,1,0.2527174055576324,[0.13534435629844666],[0.16003236174583435],[0.24002741752785095],[0.08712305913927132],[-0.022248647946941473],[0.009465855555121317],-0.0471319295465946,2.856473922729492,2.80179214477539,True,False
16,3001.96,0,0.3510094583034515,[-0.08765911310911179],[0.03884429112076759],[0.19295839879973542],[0.16215645286594915],[-0.02105471046268264],[0.00023222542125438074],0.1193561479449272,2.7906086444854736,2.7906086444854736,True,True
