group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision,obstacle_pos_category,obstacle_vel_category,robot_pos_x,robot_pos_y
1,1467.9,1,0.1987199932336807,0.0909668744558565,0.0,0.242935380447335,-0.0525823698299887,-0.0040722131093861,-0.0149227328875206,0.0085049588233232,2.268319606781006,2.385477066040039,False,False,LEICHT_RECHTS,STATIONAER,0.0000704445050910979,0.000720988266448602
1,1468.24,1,0.1987199932336807,0.0909668744558565,0.0,0.242935380447335,-0.0525823698299887,-0.0040722131093861,-0.0149227328875206,0.0068640625104308,2.272144317626953,2.272144317626953,False,False,LEICHT_RECHTS,STATIONAER,-0.000682091405836044,-0.000651973146215142
1,1470.94,0,0.1987199932336807,0.0909668744558565,0.0,0.242935380447335,-0.0525823698299887,-0.0040722131093861,-0.0149227328875206,0.0102174943313002,2.138655185699463,2.288376569747925,False,False,LEICHT_RECHTS,STATIONAER,-0.000143686420853353,0.000753376380601961
2,1550.72,0,0.3390320837497711,0.3380874562379615,0.0,0.3090650470198938,-0.0099076731918464,0.0043301041157464,0.0058364224505546,-0.1086818948388099,2.9908485412597656,119.22721862792967,True,False,AUF_PFAD,STATIONAER,0.000846365416550445,0.000114186817637919
2,1554.37,0,0.2363397032022476,0.2400174025336945,0.0,0.242706884158526,0.0333837525999026,0.0219042831395074,-0.0774268090338822,0.0178966615349054,2.6643855571746826,4.064538955688477,True,False,LEICHT_LINKS,RECHTS_WEGFAHREND,0.000360573718190717,0.000101523235567254
2,1558.34,0,0.2884905636310577,0.3031069968395548,0.0,0.3182944731362986,0.00379723722439,0.0045375562837062,-0.0310974181778583,0.0217872429639101,2.3957905769348145,2.3957905769348145,True,False,AUF_PFAD,STATIONAER,-0.000840384033847276,0.000812640927298405
3,1674.42,0,0.2171238958835601,0.1553897419922308,0.0,0.2292977759324306,0.0837634275372883,-0.0084125372202004,-0.0065119950081388,-0.0453264750540256,1.626617193222046,2.037155866622925,True,False,LEICHT_LINKS,STATIONAER,-0.000143579079061335,0.000606721932151066
3,1675.61,0,0.1943092197179794,0.1911439190623391,-1.3877787807814457e-17,0.2923978131068569,0.0487265918150882,-0.0120974746930729,0.0105279222773478,-0.119477279484272,1.6898366212844849,1.989516973495484,True,False,LEICHT_LINKS,STATIONAER,0.000678920637006205,-0.000591497199258811
3,1679.37,0,0.2202169597148895,0.1835396095012277,0.0,0.5197333280123752,0.09002504241605,0.1195094127275125,-0.2434034994862002,-0.1031994149088859,1.9381632804870603,1.91913652420044,True,True,LEICHT_LINKS,RECHTS_WEGFAHREND,-0.00058390446237589,0.0000601871116556723
4,1728.88,0,0.2792285084724426,0.3324480256880763,2.775557561562892e-17,0.3824788877552414,0.0261044089927779,-0.0682968654090435,-0.0393523877204757,0.0920362100005149,2.902992248535156,3.245420455932617,True,False,LEICHT_LINKS,RECHTS_ZUKOMMEND,-0.000588142556338162,-0.000509318015810775
4,1728.98,0,0.2792285084724426,0.3324480256880763,2.775557561562892e-17,0.3824788877552414,0.0261044089927779,-0.0682968654090435,-0.0393523877204757,0.1067091226577758,2.703871250152588,2.6342008113861084,True,False,LEICHT_LINKS,RECHTS_ZUKOMMEND,0.000694547165180393,-0.000404186822616641
4,1729.2,0,0.2792285084724426,0.3324480256880763,2.775557561562892e-17,0.3824788877552414,0.0261044089927779,-0.0682968654090435,-0.0393523877204757,0.1095229834318161,2.712199687957764,2.613809585571289,True,True,LEICHT_LINKS,RECHTS_ZUKOMMEND,0.000033781032109257,0.000926541435078747
5,1796.44,0,0.3361425995826721,0.3222567980059405,-6.938893903907228e-18,0.3125410602617508,-0.0090101810572293,0.0306473858488302,0.0011928996134833,0.0168376341462135,2.4180009365081787,2.13222336769104,True,False,AUF_PFAD,STATIONAER,-0.000221425153419661,0.000192087222682399
5,1797.79,0,0.2356629222631454,0.2831261923259499,0.0,0.3209899696104984,-0.0988735360663956,-0.0159969232274788,0.0097996121276031,-0.0975682809948921,2.389838457107544,3.1804685592651367,True,False,LEICHT_RECHTS,STATIONAER,0.000895081813678038,0.000239726427682293
5,1805.61,0,0.350199431180954,0.3676635884564542,0.0,0.3495788882779225,-0.0065016849459846,0.0087387657106356,-0.0592370328000826,0.1257708668708801,2.2179317474365234,2.162993669509888,True,False,AUF_PFAD,RECHTS_WEGFAHREND,-0.000726495264716474,0.000811661416952994
6,1850.32,0,0.2013480067253112,0.1412603219385845,0.0,0.2057282811984992,0.2278290313744401,0.0116582527318143,-0.0797469124242178,-0.1216147094964981,2.3489644527435303,3.0976290702819824,True,False,LINKS,RECHTS_WEGFAHREND,0.000778026812378931,-0.000839469099761978
6,1850.82,0,0.2013480067253112,0.1412603219385845,0.0,0.2057282811984992,0.2278290313744401,0.0116582527318143,-0.0797469124242178,-0.0558316670358181,2.24613094329834,2.2616899013519287,True,False,LINKS,RECHTS_WEGFAHREND,-0.000919276428174244,0.0000565068992074544
6,1851.43,0,0.2013480067253112,0.1412603219385845,0.0,0.2057282811984992,0.2278290313744401,0.0116582527318143,-0.0797469124242178,-0.1043367981910705,2.278540134429932,2.238765001296997,True,True,LINKS,RECHTS_WEGFAHREND,-0.000179513456366117,0.000606248960984224
7,1899.88,1,0.3195387423038482,0.2876754180921451,0.0,0.2712262776635002,0.0158373431500561,-0.0423026949892694,-0.0741902962674393,0.152033269405365,3.1716527938842773,4.209234714508057,False,False,LEICHT_LINKS,RECHTS_ZUKOMMEND,-0.000347831393156921,0.000211661603470799
