accuracy	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	f1-score	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	recall	runtime_error	start_time	time_adjust	time_taken	total_inds	total_time	
0.5306799336650083	51571088.28681927	398.724	15.943333333333333	370.99333333333334	266.1046666666667	4.287132801701181	0.4336409114316062	0	0	1159	16	1093	773	25	10	23	17	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0014660358428955078	1500	27.654415607452393	
0.5306799336650083	5538321.55273675	365.52	15.744	341.08133333333336	246.284	4.287132801701181	0.4336409114316062	1	0	954	16	900	636	25	10	23	17	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0010881423950195312	3000	69.71583223342896	
0.5306799336650083	5632116.259560771	387.6793333333333	15.368	380.73533333333336	277.69	4.287132801701181	0.4336409114316062	2	0	940	16	884	627	27	10	23	17	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011496543884277344	4500	116.40951681137085	
0.5306799336650083	4008299.9925419576	463.61133333333333	15.062666666666667	484.8833333333333	354.124	4.287132801701181	0.4336409114316062	3	0	654	16	674	484	103	15	106	75	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0010530948638916016	6000	166.50540137290955	
0.5306799336650083	3585546.3831256777	476.03333333333336	15.040666666666667	494.214	360.87666666666667	4.287132801701181	0.4336409114316062	4	0	593	16	647	463	128	15	33	25	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0012056827545166016	7500	217.40154147148132	
0.5306799336650083	3795894.7357430295	479.30733333333336	15.053333333333333	492.928	360.064	4.287132801701181	0.4336409114316062	5	0	629	16	668	479	183	15	66	51	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0012257099151611328	9000	270.80131816864014	
0.5306799336650083	3421101.6353853466	482.584	15.048666666666668	498.856	364.31733333333335	4.287132801701181	0.4336409114316062	6	0	644	16	653	469	167	15	87	64	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0014476776123046875	10500	321.1661865711212	
0.5306799336650083	3128564.3695520693	479.00733333333335	15.058666666666667	502.1886666666667	366.698	4.287132801701181	0.4336409114316062	7	0	620	16	615	442	148	15	60	45	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011403560638427734	12000	374.28577637672424	
0.5306799336650083	3293008.758861364	479.8946666666667	15.104666666666667	504.98066666666665	368.676	4.287132801701181	0.4336409114316062	8	0	637	16	739	534	219	15	161	116	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011153221130371094	13500	427.6975836753845	
0.5306799336650083	2668067.009889755	482.81	15.128	508.79066666666665	371.38933333333335	4.2769651057115246	0.4336409114316062	9	0	683	16	669	484	163	15	84	60	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0013391971588134766	15000	480.18856024742126	
0.5306799336650083	3023025.2464722595	480.41133333333335	15.128666666666666	508.2	370.9433333333333	4.2769651057115246	0.4336409114316062	10	0	613	16	643	461	148	15	60	45	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011210441589355469	16500	532.7271780967712	
0.5306799336650083	2700571.0473488094	479.352	15.157333333333334	509.47	371.89866666666666	4.2769651057115246	0.4336409114316062	11	0	624	16	728	521	244	15	188	141	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0015001296997070312	18000	587.4559364318848	
0.5306799336650083	3569227.558433019	476.784	15.151333333333334	509.4626666666667	371.86066666666665	4.2769651057115246	0.4336409114316062	12	0	631	16	745	528	172	15	93	69	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011568069458007812	19500	640.2793769836426	
0.5306799336650083	3324517.8167041927	475.98266666666666	15.141333333333334	508.92533333333336	371.4626666666667	4.2769651057115246	0.4336409114316062	13	0	609	16	690	503	179	15	105	76	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011911392211914062	21000	691.1098544597626	
0.5306799336650083	2948663.8513967986	477.69266666666664	15.153333333333334	509.49133333333333	371.8806666666667	4.2769651057115246	0.4336409114316062	14	0	604	16	653	473	231	15	176	128	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011551380157470703	22500	744.9967408180237	
0.5306799336650083	2859310.7816373934	479.714	15.122666666666667	510.3433333333333	372.534	4.2769651057115246	0.4336409114316062	15	0	625	16	642	461	120	10	23	17	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0012259483337402344	24000	799.341315984726	
0.5306799336650083	3032113.471593479	480.896	15.155333333333333	511.1213333333333	373.108	4.2769651057115246	0.4336409114316062	16	0	615	16	611	442	234	15	170	123	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011856555938720703	25500	852.9969282150269	
0.5306799336650083	2941897.602373743	477.5013333333333	15.136	510.90933333333334	372.98133333333334	4.2769651057115246	0.4336409114316062	17	0	614	16	643	458	142	15	51	39	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0012340545654296875	27000	904.2425541877747	
0.5306799336650083	3189261.022448405	476.484	15.12	511.25933333333336	373.18	4.2769651057115246	0.4336409114316062	18	0	591	16	616	445	164	15	91	61	0.6366995073891626	0.5386980223123732	0	1748547324.975234	0	0.0011937618255615234	28500	958.8192436695099	
